Agency,Service
Mayor's Office of Recovery And Resiliency,TWO-WAY RADIO COMMUNICATION
Mayor's Office of Strategic Partnership,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Strategic Partnership,NYC.GOV
Mayor's Office of Strategic Partnership,SITE-TO-SITE VPN
Mayor's Office of Strategic Partnership,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Strategic Partnership,SSL REMOTE ACCESS
Mayor's Office of Strategic Partnership,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Office of Strategic Partnership,MOBILE DEVICES AND SERVICES
Mayor's Office of Strategic Partnership,TWO-WAY RADIO COMMUNICATION
Mayor's Office of Sustainability,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Sustainability,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Sustainability,NYC.GOV
Mayor's Office of Sustainability,SITE-TO-SITE VPN
Mayor's Office of Sustainability,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Sustainability,SSL REMOTE ACCESS
Mayor's Office of Sustainability,ADVISORY SERVICES 
Mayor's Office of Sustainability,MOBILE DEVICES AND SERVICES
Mayor's Office of Workforce Development,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Workforce Development,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Workforce Development,NYC.GOV
Mayor's Office of Workforce Development,SITE-TO-SITE VPN
Mayor's Office of Workforce Development,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Workforce Development,SSL REMOTE ACCESS
Mayor's Office of Workforce Development,MOBILE DEVICES AND SERVICES
Mayor's Office to Combat Domestic Violence,BUSINESS ANALYSIS
Mayor's Office to Combat Domestic Violence,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office to Combat Domestic Violence,PROJECT MANAGEMENT 
Mayor's Office to Combat Domestic Violence,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office to Combat Domestic Violence,NYC.GOV
Mayor's Office to Combat Domestic Violence,SITE-TO-SITE VPN
Mayor's Office to Combat Domestic Violence,SOFTWARE SECURITY ASSURANCE
Mayor's Office to Combat Domestic Violence,SSL REMOTE ACCESS
Mayor's Office to Combat Domestic Violence,WP ENGINE PLATFORM
Mayor's Office to Combat Domestic Violence,CABLE INFRASTRUCTURE
Mayor's Office to Combat Domestic Violence,CITYNET
Mayor's Office to Combat Domestic Violence,DATA CONNECTIVITY (CIRCUIT ORDERS)
Mayor's Office to Combat Domestic Violence,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Office to Combat Domestic Violence,USER EXPERIENCE DESIGN
Mayor's Office to Combat Domestic Violence,MOBILE DEVICES AND SERVICES
Mayor's Office to Combat Domestic Violence,TWO-WAY RADIO COMMUNICATION
Mayor's Office to Combat Domestic Violence,FUNCTIONAL TESTING
Mayor's Office to Combat Domestic Violence,PERFORMANCE TEST
Office of Citywide Events Coordination & Management,BUSINESS APPLICATION DEVELOPMENT 
Office of Citywide Events Coordination & Management,MOBILE DEVELOPMENT 
Office of Citywide Events Coordination & Management,WEBSITE DESIGN BUILD AND MAINTENANCE  
Office of Citywide Events Coordination & Management,NYC.GOV
Office of Citywide Events Coordination & Management,SITE-TO-SITE VPN
Office of Citywide Events Coordination & Management,SOFTWARE SECURITY ASSURANCE
Office of Citywide Events Coordination & Management,SSL REMOTE ACCESS
Office of Citywide Events Coordination & Management,NEW YORK WIRELESS NETWORK (NYCWIN)
Office of Citywide Events Coordination & Management,MOBILE DEVICES AND SERVICES
Public Design Commission of the City of New York,WEBSITE DESIGN BUILD AND MAINTENANCE  
Public Design Commission of the City of New York,NYC.GOV
Public Design Commission of the City of New York,SITE-TO-SITE VPN
Public Design Commission of the City of New York,SOFTWARE SECURITY ASSURANCE
Public Design Commission of the City of New York,SSL REMOTE ACCESS
Public Design Commission of the City of New York,MOBILE DEVICES AND SERVICES
"Service, NYC",HUMAN CENTERED DESIGN
"Service, NYC",MOBILE DEVELOPMENT 
"Service, NYC",SITE-TO-SITE VPN
"Service, NYC",SOFTWARE SECURITY ASSURANCE
"Service, NYC",SSL REMOTE ACCESS
"Service, NYC",MOBILE DEVICES AND SERVICES
Mayor's Office of Contract Services,APPLICATION AUTHENTICATION AND AUTHORIZATION
Mayor's Office of Contract Services,BUSINESS ANALYSIS
Mayor's Office of Contract Services,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Contract Services,BUSINESS-AS-USUAL (ANALYTICS)
Mayor's Office of Contract Services,PROJECT MANAGEMENT 
Mayor's Office of Contract Services,PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
Mayor's Office of Contract Services,SOLUTION DEVELOPMENT (ANALYTICS)
Mayor's Office of Contract Services,SOLUTION DEVELOPMENT (CRM)
Mayor's Office of Contract Services,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Contract Services,NYC.GOV
Mayor's Office of Contract Services,WEB SINGLE SIGN-ON
Mayor's Office of Contract Services,IDENTITY MANAGEMENT 
Mayor's Office of Contract Services,NYC.ID/IDENTITY MANAGEMENT 
Mayor's Office of Contract Services,PASSWORD SELF-SERVICE
Mayor's Office of Contract Services,SITE-TO-SITE VPN
Mayor's Office of Contract Services,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Contract Services,SSL REMOTE ACCESS
Mayor's Office of Contract Services,QUALITY CONTROL SERVICES (QC)
Mayor's Office of Contract Services,SYSTEMS INTEGRATION SERVICES (SI)
Mayor's Office of Contract Services,APPLICATION SUPPORT
Mayor's Office of Contract Services,PRIMARY DATA CENTER
Mayor's Office of Contract Services,EMAIL
Mayor's Office of Contract Services,PROVISIONING
Mayor's Office of Contract Services,SELF-PROVISIONING
Mayor's Office of Contract Services,SECURE FILE TRANSFER 
Mayor's Office of Contract Services,SHAREPOINT
Mayor's Office of Contract Services,WORKSHOPS
Mayor's Office of Contract Services,CABLE INFRASTRUCTURE
Mayor's Office of Contract Services,CITYNET
Mayor's Office of Contract Services,DATA CONNECTIVITY (CIRCUIT ORDERS)
Mayor's Office of Contract Services,CLOUD REVIEW
Mayor's Office of Contract Services,ADOBE ETLA
Mayor's Office of Contract Services,VMWARE ELA
Mayor's Office of Contract Services,MICROSOFT ELA
Mayor's Office of Contract Services,MOBILE DEVICES AND SERVICES
Mayor's Office of Contract Services,TWO-WAY RADIO COMMUNICATION
Mayor's Office of Contract Services,VoIP
Mayor's Office of Contract Services,FUNCTIONAL TESTING
Mayor's Office of Contract Services,PERFORMANCE TEST
Mayor's Office of Housing Recovery Operations,BUSINESS ANALYSIS
Mayor's Office of Housing Recovery Operations,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Housing Recovery Operations,BUSINESS-AS-USUAL (ANALYTICS)
Mayor's Office of Housing Recovery Operations,PROJECT MANAGEMENT 
Mayor's Office of Housing Recovery Operations,SOLUTION DEVELOPMENT (ANALYTICS)
Mayor's Office of Housing Recovery Operations,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Housing Recovery Operations,NYC.GOV
Mayor's Office of Housing Recovery Operations,SITE-TO-SITE VPN
Mayor's Office of Housing Recovery Operations,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Housing Recovery Operations,SSL REMOTE ACCESS
Mayor's Office of Housing Recovery Operations,CDWG - IT GOODS AND RELATED SERVICES 
Mayor's Office of Housing Recovery Operations,CISCO MAINTENANCE CONTRACT
Mayor's Office of Housing Recovery Operations,DATA EXCHANGE
Mayor's Office of Housing Recovery Operations,PRIMARY DATA CENTER
Mayor's Office of Housing Recovery Operations,EMAIL
Mayor's Office of Housing Recovery Operations,SELF-PROVISIONING
Mayor's Office of Housing Recovery Operations,SECURE FILE TRANSFER 
Mayor's Office of Housing Recovery Operations,SHAREPOINT
Mayor's Office of Housing Recovery Operations,WORKSHOPS
Mayor's Office of Housing Recovery Operations,CABLE INFRASTRUCTURE
Mayor's Office of Housing Recovery Operations,CITYNET
Mayor's Office of Housing Recovery Operations,DATA CONNECTIVITY (CIRCUIT ORDERS)
Mayor's Office of Housing Recovery Operations,SECURE WIRELESS (LAN) SERVICES
Mayor's Office of Housing Recovery Operations,CLOUD REVIEW
Mayor's Office of Housing Recovery Operations,ADOBE ETLA
Mayor's Office of Housing Recovery Operations,VMWARE ELA
Mayor's Office of Housing Recovery Operations,MICROSOFT ELA
Mayor's Office of Housing Recovery Operations,MOBILE DEVICES AND SERVICES
Mayor's Office of Housing Recovery Operations,VoIP
Mayor's Office of Housing Recovery Operations,FUNCTIONAL TESTING
Mayor's Office of Management & Budget,BUSINESS ANALYSIS
Mayor's Office of Management & Budget,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Management & Budget,BUSINESS-AS-USUAL (ANALYTICS)
Mayor's Office of Management & Budget,PROJECT MANAGEMENT 
Mayor's Office of Management & Budget,PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
Mayor's Office of Management & Budget,SOLUTION DEVELOPMENT (ANALYTICS)
Mayor's Office of Management & Budget,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Management & Budget,NYC.GOV
Mayor's Office of Management & Budget,WEB SINGLE SIGN-ON
Mayor's Office of Management & Budget,AUTOMATIC USER DE-PROVISIONING
Mayor's Office of Management & Budget,IDENTITY MANAGEMENT 
Mayor's Office of Management & Budget,NYC.ID/IDENTITY MANAGEMENT 
Mayor's Office of Management & Budget,PASSWORD SELF-SERVICE
Mayor's Office of Management & Budget,SITE-TO-SITE VPN
Mayor's Office of Management & Budget,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Management & Budget,SSL REMOTE ACCESS
Mayor's Office of Management & Budget,CISCO MAINTENANCE CONTRACT
Mayor's Office of Management & Budget,QUALITY CONTROL SERVICES (QC)
Mayor's Office of Management & Budget,EMAIL
Mayor's Office of Management & Budget,PROVISIONING
Mayor's Office of Management & Budget,MAINFRAME
Mayor's Office of Management & Budget,LYNC 2013
Mayor's Office of Management & Budget,SECURE FILE TRANSFER 
Mayor's Office of Management & Budget,SHAREPOINT
Mayor's Office of Management & Budget,SITE B (STERLING FOREST) MAINFRAME
Mayor's Office of Management & Budget,WORKSHOPS
Mayor's Office of Management & Budget,CABLE INFRASTRUCTURE
Mayor's Office of Management & Budget,CITYNET
Mayor's Office of Management & Budget,DATA CONNECTIVITY (CIRCUIT ORDERS)
Mayor's Office of Management & Budget,ADVISORY SERVICES 
Mayor's Office of Management & Budget,ADOBE ETLA
Mayor's Office of Management & Budget,VMWARE ELA
Mayor's Office of Management & Budget,MICROSOFT ELA
Mayor's Office of Management & Budget,MOBILE DEVICES AND SERVICES
Mayor's Office of Management & Budget,VoIP
Mayor's Office of Management & Budget,FUNCTIONAL TESTING
Mayor's Office of Media & Entertainment,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Media & Entertainment,MOBILE DEVELOPMENT 
Mayor's Office of Media & Entertainment,PROJECT MANAGEMENT 
Mayor's Office of Media & Entertainment,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Media & Entertainment,NYC.GOV
Mayor's Office of Media & Entertainment,SITE-TO-SITE VPN
Mayor's Office of Media & Entertainment,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Media & Entertainment,SSL REMOTE ACCESS
Mayor's Office of Media & Entertainment,CDWG - IT GOODS AND RELATED SERVICES 
Mayor's Office of Media & Entertainment,CISCO MAINTENANCE CONTRACT
Mayor's Office of Media & Entertainment,SERVICE DESK
Mayor's Office of Media & Entertainment,DESKTOP SUPPORT
Mayor's Office of Media & Entertainment,EMAIL
Mayor's Office of Media & Entertainment,PROVISIONING
Mayor's Office of Media & Entertainment,SHAREPOINT
Mayor's Office of Media & Entertainment,CABLE INFRASTRUCTURE
Mayor's Office of Media & Entertainment,CITYNET
Mayor's Office of Media & Entertainment,DATA CONNECTIVITY (CIRCUIT ORDERS)
Mayor's Office of Media & Entertainment,NETWORK LAN SUPPORT
Mayor's Office of Media & Entertainment,SECURE WIRELESS (LAN) SERVICES
Mayor's Office of Media & Entertainment,USER EXPERIENCE DESIGN
Mayor's Office of Media & Entertainment,ADOBE ETLA
Mayor's Office of Media & Entertainment,MOBILE DEVICES AND SERVICES
Mayor's Office of Media & Entertainment,TWO-WAY RADIO COMMUNICATION
Mayor's Office of Media & Entertainment,VoIP
Mayor's Office of Technology And Innovations,BUSINESS ANALYSIS
Mayor's Office of Technology And Innovations,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Technology And Innovations,BUSINESS-AS-USUAL (ANALYTICS)
Mayor's Office of Technology And Innovations,HUMAN CENTERED DESIGN
Mayor's Office of Technology And Innovations,MAPPING/LOCATION SERVICES
Mayor's Office of Technology And Innovations,PROJECT MANAGEMENT 
Mayor's Office of Technology And Innovations,SOLUTION DEVELOPMENT (ANALYTICS)
Mayor's Office of Technology And Innovations,SOLUTION DEVELOPMENT (CRM)
Mayor's Office of Technology And Innovations,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Technology And Innovations,NYC.GOV
Mayor's Office of Technology And Innovations,SITE-TO-SITE VPN
Mayor's Office of Technology And Innovations,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Technology And Innovations,SSL REMOTE ACCESS
Mayor's Office of Technology And Innovations,CDWG - IT GOODS AND RELATED SERVICES 
Mayor's Office of Technology And Innovations,QUALITY CONTROL SERVICES (QC)
Mayor's Office of Technology And Innovations,DESKTOP SUPPORT
Mayor's Office of Technology And Innovations,EMAIL
Mayor's Office of Technology And Innovations,SHAREPOINT
Mayor's Office of Technology And Innovations,WP ENGINE PLATFORM
Mayor's Office of Technology And Innovations,CABLE INFRASTRUCTURE
Mayor's Office of Technology And Innovations,CITYNET
Mayor's Office of Technology And Innovations,DATA CONNECTIVITY (CIRCUIT ORDERS)
Mayor's Office of Technology And Innovations,NETWORK LAN SUPPORT
Mayor's Office of Technology And Innovations,ADVISORY SERVICES 
Mayor's Office of Technology And Innovations,CLOUD REVIEW
Mayor's Office of Technology And Innovations,USER EXPERIENCE DESIGN
Mayor's Office of Technology And Innovations,ADOBE ETLA
Mayor's Office of Technology And Innovations,VMWARE ELA
Mayor's Office of Technology And Innovations,MICROSOFT ELA
Mayor's Office of Technology And Innovations,MOBILE DEVICES AND SERVICES
Mayor's Office of Technology And Innovations,FUNCTIONAL TESTING
Mayor's Office of the Assigned Counsel Panel,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of the Assigned Counsel Panel,SITE-TO-SITE VPN
Mayor's Office of the Assigned Counsel Panel,SOFTWARE SECURITY ASSURANCE
Mayor's Office of the Assigned Counsel Panel,SSL REMOTE ACCESS
Mayor's Office of the Assigned Counsel Panel,MOBILE DEVICES AND SERVICES
"Parks, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Parks, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Parks, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Parks, Department of",MAPPING/LOCATION SERVICES
"Parks, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Parks, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Parks, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Parks, Department of",NYC.GOV
"Parks, Department of",WEB SINGLE SIGN-ON
"Parks, Department of",IDENTITY MANAGEMENT 
"Parks, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Parks, Department of",PASSWORD SELF-SERVICE
"Parks, Department of",SITE-TO-SITE VPN
"Parks, Department of",SOFTWARE SECURITY ASSURANCE
"Parks, Department of",SSL REMOTE ACCESS
"Parks, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Parks, Department of",CISCO MAINTENANCE CONTRACT
"Parks, Department of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Parks, Department of",GEOGRAPHIC INFORMATION TECHNOLOGIES AND SERVICES (GIS)
"Parks, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Parks, Department of",QUALITY CONTROL SERVICES (QC)
"Parks, Department of",APPLICATION SUPPORT
"Parks, Department of",EMAIL
"Parks, Department of",PROVISIONING
"Parks, Department of",SELF-PROVISIONING
"Parks, Department of",MAINFRAME
"Parks, Department of",SITE B (STERLING FOREST) MAINFRAME
"Parks, Department of",WORKSHOPS
"Parks, Department of",CABLE INFRASTRUCTURE
"Parks, Department of",CITYNET
"Parks, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Parks, Department of",SECURE WIRELESS (LAN) SERVICES
"Parks, Department of",CLOUD REVIEW
"Parks, Department of",ADOBE ETLA
"Parks, Department of",VMWARE ELA
"Parks, Department of",MICROSOFT ELA
"Parks, Department of",MOBILE DEVICES AND SERVICES
"Parks, Department of",TELECOMM CONTRACT
"Parks, Department of",PERFORMANCE TEST
"Police Department, New York City",BUSINESS ANALYSIS
"Police Department, New York City",BUSINESS APPLICATION DEVELOPMENT 
"Police Department, New York City",BUSINESS-AS-USUAL (ANALYTICS)
"Police Department, New York City",MAPPING/LOCATION SERVICES
"Police Department, New York City",PROJECT MANAGEMENT 
"Police Department, New York City",SOLUTION DEVELOPMENT (ANALYTICS)
"Police Department, New York City",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Police Department, New York City",NYC.GOV
"Police Department, New York City",IDENTITY MANAGEMENT 
"Police Department, New York City",PASSWORD SELF-SERVICE
"Police Department, New York City",SITE-TO-SITE VPN
"Police Department, New York City",SOFTWARE SECURITY ASSURANCE
"Police Department, New York City",SSL REMOTE ACCESS
"Police Department, New York City",CDWG - IT GOODS AND RELATED SERVICES 
"Police Department, New York City",CISCO MAINTENANCE CONTRACT
"Police Department, New York City",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Police Department, New York City",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Police Department, New York City",QUALITY CONTROL SERVICES (QC)
"Police Department, New York City",SYSTEMS INTEGRATION SERVICES (SI)
"Police Department, New York City",DATA EXCHANGE
"Police Department, New York City",PROVISIONING
"Police Department, New York City",MAINFRAME
"Police Department, New York City",SECURE FILE TRANSFER 
"Police Department, New York City",SITE B (STERLING FOREST) MAINFRAME
"Police Department, New York City",WORKSHOPS
"Police Department, New York City",CABLE INFRASTRUCTURE
"Police Department, New York City",CITYNET
"Police Department, New York City",CLOUD REVIEW
"Police Department, New York City",USER EXPERIENCE DESIGN
"Police Department, New York City",ADOBE ETLA
"Police Department, New York City",VMWARE ELA
"Police Department, New York City",MICROSOFT ELA
"Police Department, New York City",TELECOMM CONTRACT
"Police Department, New York City",FUNCTIONAL TESTING
"Police Department, New York City",PERFORMANCE TEST
"Probation, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Probation, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Probation, Department of",NYC.GOV
"Probation, Department of",IDENTITY MANAGEMENT 
"Probation, Department of",PASSWORD SELF-SERVICE
"Probation, Department of",SITE-TO-SITE VPN
"Probation, Department of",SOFTWARE SECURITY ASSURANCE
"Probation, Department of",SSL REMOTE ACCESS
"Probation, Department of",CISCO MAINTENANCE CONTRACT
"Probation, Department of",DATA EXCHANGE
"Probation, Department of",EMAIL
"Probation, Department of",PROVISIONING
"Probation, Department of",SELF-PROVISIONING
"Probation, Department of",MAINFRAME
"Probation, Department of",LYNC 2013
"Probation, Department of",SECURE FILE TRANSFER 
"Probation, Department of",SITE B (STERLING FOREST) MAINFRAME
"Probation, Department of",WP ENGINE PLATFORM
"Probation, Department of",CABLE INFRASTRUCTURE
"Probation, Department of",CITYNET
"Probation, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Probation, Department of",SECURE WIRELESS (LAN) SERVICES
"Probation, Department of",ADOBE ETLA
"Probation, Department of",MICROSOFT ELA
"Probation, Department of",MOBILE DEVICES AND SERVICES
"Probation, Department of",TELECOMM CONTRACT
"Probation, Department of",VoIP
"Records & Information Services, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Records & Information Services, Department of",BUSINESS ANALYSIS
"Records & Information Services, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Records & Information Services, Department of",HUMAN CENTERED DESIGN
"Records & Information Services, Department of",PROJECT MANAGEMENT 
"Records & Information Services, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Records & Information Services, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Records & Information Services, Department of",NYC.GOV
"Records & Information Services, Department of",WEB SINGLE SIGN-ON
"Records & Information Services, Department of",IDENTITY MANAGEMENT 
"Records & Information Services, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Records & Information Services, Department of",PASSWORD SELF-SERVICE
"Records & Information Services, Department of",SITE-TO-SITE VPN
"Records & Information Services, Department of",SOFTWARE SECURITY ASSURANCE
"Records & Information Services, Department of",SSL REMOTE ACCESS
"Records & Information Services, Department of",CISCO MAINTENANCE CONTRACT
"Records & Information Services, Department of",APPLICATION SUPPORT
"Records & Information Services, Department of",SERVICE DESK
"Records & Information Services, Department of",PRIMARY DATA CENTER
"Records & Information Services, Department of",EMAIL
"Records & Information Services, Department of",PROVISIONING
"Records & Information Services, Department of",SELF-PROVISIONING
"Records & Information Services, Department of",MAINFRAME
"Records & Information Services, Department of",LYNC 2013
"Records & Information Services, Department of",SHAREPOINT
"Records & Information Services, Department of",SITEB SERVICES
"Records & Information Services, Department of",SITE B (STERLING FOREST) MAINFRAME
"Records & Information Services, Department of",WORKSHOPS
"Records & Information Services, Department of",CABLE INFRASTRUCTURE
"Records & Information Services, Department of",CITYNET
"Records & Information Services, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Records & Information Services, Department of",SECURE WIRELESS (LAN) SERVICES
"Records & Information Services, Department of",ADVISORY SERVICES 
"Records & Information Services, Department of",CLOUD REVIEW
"Records & Information Services, Department of",USER EXPERIENCE DESIGN
"Records & Information Services, Department of",ADOBE ETLA
"Records & Information Services, Department of",MICROSOFT ELA
"Records & Information Services, Department of",MOBILE DEVICES AND SERVICES
"Records & Information Services, Department of",VoIP
"Records & Information Services, Department of",FUNCTIONAL TESTING
"Records & Information Services, Department of",PERFORMANCE TEST
"Records & Information Services, Department of",QUALITY ASSURANCE SUPPORT 
"Sanitation, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Sanitation, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Sanitation, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Sanitation, Department of",MAPPING/LOCATION SERVICES
"Sanitation, Department of",MOBILE DEVELOPMENT 
"Sanitation, Department of",PROJECT MANAGEMENT 
"Sanitation, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Sanitation, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Sanitation, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Sanitation, Department of",NYC.GOV
"Sanitation, Department of",WEB SINGLE SIGN-ON
"Sanitation, Department of",IDENTITY MANAGEMENT 
"Sanitation, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Sanitation, Department of",PASSWORD SELF-SERVICE
"Sanitation, Department of",SITE-TO-SITE VPN
"Sanitation, Department of",SOFTWARE SECURITY ASSURANCE
"Sanitation, Department of",SSL REMOTE ACCESS
"Sanitation, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Sanitation, Department of",CISCO MAINTENANCE CONTRACT
"Sanitation, Department of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Sanitation, Department of",GEOGRAPHIC INFORMATION TECHNOLOGIES AND SERVICES (GIS)
"Sanitation, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Sanitation, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Sanitation, Department of",DATA EXCHANGE
"Sanitation, Department of",APPLICATION SUPPORT
"Sanitation, Department of",SERVICE DESK
"Sanitation, Department of",EMAIL
"Sanitation, Department of",PROVISIONING
"Sanitation, Department of",SELF-PROVISIONING
"Sanitation, Department of",MAINFRAME
"Sanitation, Department of",LYNC 2013
"Sanitation, Department of",SECURE FILE TRANSFER 
"Sanitation, Department of",SHAREPOINT
"Sanitation, Department of",SITEB SERVICES
"Sanitation, Department of",SITE B (STERLING FOREST) MAINFRAME
"Sanitation, Department of",WP ENGINE PLATFORM
"Sanitation, Department of",WORKSHOPS
"Sanitation, Department of",CABLE INFRASTRUCTURE
"Sanitation, Department of",CITYNET
"Sanitation, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Sanitation, Department of",SECURE WIRELESS (LAN) SERVICES
"Sanitation, Department of",ADVISORY SERVICES 
"Sanitation, Department of",CLOUD REVIEW
"Sanitation, Department of",ADOBE ETLA
"Sanitation, Department of",VMWARE ELA
"Sanitation, Department of",MICROSOFT ELA
"Sanitation, Department of",CONTACT CENTER SOLUTIONS
"Sanitation, Department of",MOBILE DEVICES AND SERVICES
"Sanitation, Department of",TELECOMM CONTRACT
"Sanitation, Department of",VIDEO CONFERENCING SOLUTIONS
"Sanitation, Department of",VoIP
"Sanitation, Department of",FUNCTIONAL TESTING
"Sanitation, Department of",PERFORMANCE TEST
"Sanitation, Department of",QUALITY ASSURANCE SUPPORT 
"Small Business Services, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Small Business Services, Department of",BUSINESS ANALYSIS
"Small Business Services, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Small Business Services, Department of",HUMAN CENTERED DESIGN
"Small Business Services, Department of",MAPPING/LOCATION SERVICES
"Small Business Services, Department of",PROJECT MANAGEMENT 
"Small Business Services, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Small Business Services, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Small Business Services, Department of",NYC.GOV
"Small Business Services, Department of",WEB SINGLE SIGN-ON
"Small Business Services, Department of",IDENTITY MANAGEMENT 
"Small Business Services, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Small Business Services, Department of",PASSWORD SELF-SERVICE
"Small Business Services, Department of",SITE-TO-SITE VPN
"Small Business Services, Department of",SOFTWARE SECURITY ASSURANCE
"Small Business Services, Department of",SSL REMOTE ACCESS
"Small Business Services, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Small Business Services, Department of",CISCO MAINTENANCE CONTRACT
"Small Business Services, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Small Business Services, Department of",QUALITY CONTROL SERVICES (QC)
"Small Business Services, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Small Business Services, Department of",DATA EXCHANGE
"Small Business Services, Department of",APPLICATION SUPPORT
"Small Business Services, Department of",PRIMARY DATA CENTER
"Small Business Services, Department of",EMAIL
"Small Business Services, Department of",PROVISIONING
"Small Business Services, Department of",SELF-PROVISIONING
"Small Business Services, Department of",LYNC 2013
"Small Business Services, Department of",SECURE FILE TRANSFER 
"Small Business Services, Department of",SHAREPOINT
"Small Business Services, Department of",WORKSHOPS
"Small Business Services, Department of",CABLE INFRASTRUCTURE
"Small Business Services, Department of",CITYNET
"Small Business Services, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Small Business Services, Department of",ADVISORY SERVICES 
"Small Business Services, Department of",CLOUD REVIEW
"Small Business Services, Department of",USER EXPERIENCE DESIGN
"Small Business Services, Department of",ADOBE ETLA
"Small Business Services, Department of",VMWARE ELA
"Small Business Services, Department of",MICROSOFT ELA
"Small Business Services, Department of",MOBILE DEVICES AND SERVICES
"Small Business Services, Department of",TELECOMM CONTRACT
"Small Business Services, Department of",FUNCTIONAL TESTING
"Small Business Services, Department of",PERFORMANCE TEST
